epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3269.45,1.3854,1.17973,0.93767,0.87201,0.84127,0.90372,0.5694,1.15771,0.89511,0.88037,0.000665747,0.000665747,0.000665747
2,6354.03,1.30173,0.78787,0.91815,0.90267,0.83232,0.91304,0.56605,1.18389,0.72849,0.88972,0.00130603,0.00130603,0.00130603
3,9501.93,1.28129,0.74171,0.91357,0.91837,0.85861,0.93189,0.59888,1.13277,0.67938,0.87025,0.00191992,0.00191992,0.00191992
4,12527.4,1.24982,0.70641,0.90678,0.92333,0.86279,0.93931,0.61845,1.07818,0.63948,0.86371,0.0018812,0.0018812,0.0018812
5,15569.4,1.21625,0.67107,0.8991,0.95158,0.88369,0.9555,0.65065,1.02179,0.56639,0.85389,0.0018416,0.0018416,0.0018416
6,18584.4,1.18532,0.64111,0.89211,0.95487,0.91105,0.96495,0.66722,0.99742,0.54165,0.8496,0.001802,0.001802,0.001802
7,21605.6,1.16787,0.6216,0.88903,0.95835,0.91638,0.96827,0.68143,0.9579,0.52096,0.84538,0.0017624,0.0017624,0.0017624
8,24614.6,1.15685,0.60294,0.88726,0.95929,0.92283,0.97304,0.67549,0.96496,0.50676,0.84314,0.0017228,0.0017228,0.0017228
9,27617.8,1.14316,0.59162,0.88327,0.96725,0.92664,0.97631,0.69709,0.93538,0.49216,0.83845,0.0016832,0.0016832,0.0016832
10,30603.1,1.12887,0.584,0.88048,0.96398,0.92797,0.97436,0.68256,0.96781,0.49797,0.84212,0.0016436,0.0016436,0.0016436
11,33610.7,1.11655,0.5718,0.87813,0.96902,0.94782,0.98,0.70199,0.90964,0.46337,0.83342,0.001604,0.001604,0.001604
12,36618.2,1.11261,0.56087,0.87611,0.96546,0.94341,0.97898,0.70264,0.9199,0.46728,0.83507,0.0015644,0.0015644,0.0015644
13,39626.6,1.10265,0.55474,0.87573,0.96735,0.94703,0.9821,0.70813,0.90548,0.47048,0.83254,0.0015248,0.0015248,0.0015248
14,42666.1,1.09268,0.5441,0.87293,0.96871,0.95217,0.98511,0.70945,0.90246,0.44549,0.83217,0.0014852,0.0014852,0.0014852
15,45669,1.08362,0.53924,0.87084,0.95351,0.94575,0.97846,0.70231,0.9054,0.4613,0.83233,0.0014456,0.0014456,0.0014456
16,48662.4,1.07109,0.52802,0.86907,0.97501,0.9517,0.98502,0.72007,0.87714,0.43136,0.82853,0.001406,0.001406,0.001406
17,51663.4,1.06917,0.52869,0.86879,0.96993,0.95389,0.98563,0.72621,0.86198,0.4343,0.82635,0.0013664,0.0013664,0.0013664
18,54661.5,1.05997,0.52161,0.86704,0.96565,0.95873,0.98639,0.71972,0.87819,0.43304,0.82791,0.0013268,0.0013268,0.0013268
19,57648.9,1.04753,0.51297,0.86418,0.97525,0.9577,0.98763,0.73281,0.85837,0.42084,0.82       493,0.0012872,0.0012872,0.0012872
 20,60635.5,1.04591,0.50728,0.86428,0.96577,0.96113,0.98694,0.72934,0.85742,0.41528,0.82477,0.0012476,0.0012476,0.0012476
21,68083.2,1.03495,0.50175,0.86108,0.97354,0.96062,0.98902,0.73849,0.84466,0.40602,0.82265,0.001208,0.001208,0.001208
22,89754.5,1.03027,0.49581,0.86075,0.97334,0.95941,0.98767,0.72528,0.87671,0.41274,0.8256,0.0011684,0.0011684,0.0011684
23,92724,1.02684,0.49446,0.86114,0.97063,0.96357,0.98872,0.74005,0.83403,0.40327,0.82136,0.0011288,0.0011288,0.0011288
24,95704.2,1.02338,0.49253,0.8599,0.97233,0.96094,0.9883,0.7384,0.83538,0.40353,0.82148,0.0010892,0.0010892,0.0010892
25,98683.7,1.01502,0.48804,0.85926,0.9763,0.96566,0.99014,0.74795,0.82755,0.39595,0.81924,0.0010496,0.0010496,0.0010496
26,101676,1.01272,0.48388,0.85887,0.971,0.96742,0.99057,0.74278,0.83697,0.3943,0.82082,0.00101,0.00101,0.00101
27,104669,1.00027,0.47468,0.85672,0.9761,0.96513,0.99045,0.75607,0.81354,0.38844,0.81824,0.0009704,0.0009704,0.0009704
28,107662,1.00109,0.47462,0.85644,0.98021,0.96255,0.99096,0.75202,0.8135,0.38508,0.81715,0.0009308,0.0009308,0.0009308
29,110629,0.99219,0.46855,0.85432,0.97645,0.96913,0.99138,0.75475,0.813,0.38199,0.81662,0.0008912,0.0008912,0.0008912
30,113635,0.98693,0.46536,0.85354,0.975,0.96456,0.99107,0.74813,0.82409,0.38463,0.81831,0.0008516,0.0008516,0.0008516
31,116656,0.98276,0.46312,0.85239,0.97545,0.96891,0.99101,0.75097,0.82121,0.38327,0.8178,0.000812,0.000812,0.000812
32,119689,0.98448,0.46076,0.85234,0.97486,0.97085,0.99143,0.7549,0.81175,0.37713,0.81644,0.0007724,0.0007724,0.0007724
33,122680,0.97662,0.45731,0.85101,0.97714,0.96939,0.99211,0.75979,0.80029,0.37209,0.81543,0.0007328,0.0007328,0.0007328
34,125680,0.96403,0.45121,0.84964,0.97871,0.96989,0.99202,0.75948,0.80297,0.3731,0.81536,0.0006932,0.0006932,0.0006932
35,128690,0.96218,0.44653,0.84934,0.97819,0.97066,0.99196,0.76393,0.79855,0.36877,0.8143,0.0006536,0.0006536,0.0006536
